repo_name,stars,forks,issues,watchers,last_push,date
octocat/Hello-World,3531,5907,3717,3531,2024-08-20T23:54:42Z,2026-03-18
torvalds/linux,223567,61039,3,223567,2026-03-17T23:58:24Z,2026-03-18
django/django,87066,33763,433,87066,2026-03-17T21:08:18Z,2026-03-18
octocat/Hello-World,3531,5907,3717,3531,2024-08-20T23:54:42Z,2026-03-18
torvalds/linux,223569,61038,3,223569,2026-03-17T23:58:24Z,2026-03-18
django/django,87066,33763,433,87066,2026-03-17T21:08:18Z,2026-03-18
octocat/Hello-World,3531,5907,3717,3531,2024-08-20T23:54:42Z,2026-03-18
torvalds/linux,223568,61038,3,223568,2026-03-17T23:58:24Z,2026-03-18
django/django,87066,33763,433,87066,2026-03-17T21:08:18Z,2026-03-18
pallets/flask,71345,16748,3,71345,2026-03-08T23:24:17Z,2026-03-18
ansible/ansible,68297,24180,814,68297,2026-03-16T22:19:35Z,2026-03-18
psf/requests,53853,9785,301,53853,2026-03-18T01:19:40Z,2026-03-18
numpy/numpy,31617,12172,2339,31617,2026-03-16T10:02:02Z,2026-03-18
scikit-learn/scikit-learn,65411,26806,2139,65411,2026-03-18T05:44:34Z,2026-03-18
pandas-dev/pandas,48165,19754,3672,48165,2026-03-18T01:52:48Z,2026-03-18
keras-team/keras,63910,19740,273,63910,2026-03-13T23:34:27Z,2026-03-18
tensorflow/tensorflow,194186,75256,3803,194186,2026-03-18T09:29:47Z,2026-03-18
scrapy/scrapy,60842,11375,656,60842,2026-03-13T09:30:25Z,2026-03-18
matplotlib/matplotlib,22592,8263,1547,22592,2026-03-18T05:35:11Z,2026-03-18
pytest-dev/pytest,13698,3055,1018,13698,2026-03-17T18:17:03Z,2026-03-18
fastapi/fastapi,96306,8876,162,96306,2026-03-18T08:21:27Z,2026-03-18
octocat/Hello-World,3531,5907,3717,3531,2024-08-20T23:54:42Z,2026-03-18
torvalds/linux,223568,61038,3,223568,2026-03-17T23:58:24Z,2026-03-18
django/django,87066,33763,433,87066,2026-03-17T21:08:18Z,2026-03-18
pallets/flask,71345,16748,3,71345,2026-03-08T23:24:17Z,2026-03-18
ansible/ansible,68297,24180,814,68297,2026-03-16T22:19:35Z,2026-03-18
psf/requests,53853,9785,301,53853,2026-03-18T01:19:40Z,2026-03-18
numpy/numpy,31617,12172,2339,31617,2026-03-16T10:02:02Z,2026-03-18
scikit-learn/scikit-learn,65411,26806,2139,65411,2026-03-18T05:44:34Z,2026-03-18
pandas-dev/pandas,48165,19754,3672,48165,2026-03-18T01:52:48Z,2026-03-18
keras-team/keras,63910,19740,273,63910,2026-03-13T23:34:27Z,2026-03-18
tensorflow/tensorflow,194186,75256,3803,194186,2026-03-18T09:29:47Z,2026-03-18
scrapy/scrapy,60842,11375,656,60842,2026-03-13T09:30:25Z,2026-03-18
matplotlib/matplotlib,22592,8263,1547,22592,2026-03-18T05:35:11Z,2026-03-18
pytest-dev/pytest,13698,3055,1018,13698,2026-03-17T18:17:03Z,2026-03-18
fastapi/fastapi,96306,8876,162,96306,2026-03-18T08:21:27Z,2026-03-18
octocat/Hello-World,3531,5908,3717,3531,2024-08-20T23:54:42Z,2026-03-18
torvalds/linux,223574,61039,3,223574,2026-03-17T23:58:24Z,2026-03-18
django/django,87066,33763,434,87066,2026-03-17T21:08:18Z,2026-03-18
pallets/flask,71345,16748,3,71345,2026-03-08T23:24:17Z,2026-03-18
ansible/ansible,68297,24180,814,68297,2026-03-16T22:19:35Z,2026-03-18
psf/requests,53853,9785,301,53853,2026-03-18T01:19:40Z,2026-03-18
numpy/numpy,31617,12172,2339,31617,2026-03-16T10:02:02Z,2026-03-18
scikit-learn/scikit-learn,65411,26806,2140,65411,2026-03-18T05:44:34Z,2026-03-18
pandas-dev/pandas,48165,19755,3672,48165,2026-03-18T01:52:48Z,2026-03-18
keras-team/keras,63910,19740,274,63910,2026-03-13T23:34:27Z,2026-03-18
tensorflow/tensorflow,194186,75257,3809,194186,2026-03-18T09:51:21Z,2026-03-18
scrapy/scrapy,60842,11376,656,60842,2026-03-13T09:30:25Z,2026-03-18
matplotlib/matplotlib,22592,8263,1547,22592,2026-03-18T05:35:11Z,2026-03-18
pytest-dev/pytest,13698,3055,1018,13698,2026-03-17T18:17:03Z,2026-03-18
fastapi/fastapi,96309,8877,162,96309,2026-03-18T09:38:57Z,2026-03-18
